Date,Farmgate_Price,Production_Cost,Net_Return,Volume_Of_Production,Inflation
2010-Q1,51.367,6340,4374,1073.26,3.9
2010-Q2,55.45,6854.066327,4728.88735,756.91,3.833
2010-Q3,51.13,5945.263367,4101.868787,407.99,3.867
2010-Q4,52.457,6742.37211,4651.825159,938.73,3.5
2011-Q1,55.52,7003.43457,5034.112537,969.66,4.533
2011-Q2,61.54,7977.176986,5734.044671,696.13,4.933
2011-Q3,55.24,6547.032588,4706.04794,382.88,4.733
2011-Q4,50.72,6250.355857,4492.794852,909.23,4.7
2012-Q1,59.693,7092,4618,1049.63,3.333
2012-Q2,63.603,8391.086974,5463.798377,621.18,2.933
2012-Q3,66.21,6925.03877,4509.191206,351.96,3.467
2012-Q4,59.817,7117.182362,4634.30418,845.64,2.967
2013-Q1,64.297,7340,4348,907.28,2.8
2013-Q2,71.987,8518.58629,5045.647955,559.48,2.333
2013-Q3,69.02,7021.846625,4159.113362,265.29,2.167
2013-Q4,62.867,7446.643441,4410.724969,726.37,3.033
2014-Q1,70.12,7455,4404,872.35,3.6
2014-Q2,76.073,9140.185373,5398.802044,551.56,3.8
2014-Q3,70.18,6742.97142,3982.847874,224.25,4.1
2014-Q4,67.17,7775.500566,4592.728335,714.43,2.867
2015-Q1,79.163,7900,4468,822.35,1.5
2015-Q2,79.067,8811.708559,4983.482779,512.43,0.967
2015-Q3,77.12,7114.895985,4023.846383,224.06,-0.07
2015-Q4,75.673,8750.024724,4948.597339,714.37,0.267
2016-Q1,83.747,8303,3499,803.98,0.6
2016-Q2,78.633,8586.206852,3618.691527,433.55,0.967
2016-Q3,81.55,8195.045633,3453.835052,211.21,1.433
2016-Q4,83.313,9138.133148,3851.303092,685.58,2.033
2017-Q1,89.903,8789,3699,788.78,2.9
2017-Q2,91.263,9674.495698,4071.230883,430.52,2.867
2017-Q3,91.8,9216.876547,3878.655137,197.82,2.667
2017-Q4,84.737,8446.143247,3554.314385,615.1,3
2018-Q1,91.927,9749,1749,782.59,3.8
2018-Q2,92.99,11020.09095,1977.428007,439.63,4.633
2018-Q3,98.03,9480.514916,1701.168874,195.36,6.433
2018-Q4,84.033,9211.94459,1652.977032,602.09,6.067
2019-Q1,91.097,10942,717,768.99,3.867
2019-Q2,92.283,12161.52277,796.5156332,399.15,3.033
2019-Q3,82.71,10415.16624,682.1384861,191.74,1.367
2019-Q4,81.543,9828.007893,643.6827095,594.06,1.4
2020-Q1,88.433,12399,-821,715.52,2.567
2020-Q2,74.813,12453.79028,-824.7134979,368.23,1.9
2020-Q3,82.68,11050.23059,-731.7671262,189.44,2.267
2020-Q4,82.247,10562.32446,-699.4570613,582.97,2.867
2021-Q1,89.963,12004,-1681,696.39,4
2021-Q2,95.737,13633.56799,-1909.598153,367.69,3.967
2021-Q3,91.17,13330.31807,-1867.123175,188.01,4.1
2021-Q4,83.693,12007.83208,-1681.887968,586.23,3.6
